
source: december 21 1978
candidates:
 ['2978-12-21', '9978-12-21', '1978-12-21']
i:0, best_result:(1.0, '12 apr 1977', '1977-04-12', '1977-04-12')
i:48, best_result:(1.0, 'friday september 21 1984', '1984-09-21', '1984-09-21')
i:49, best_result:(1.0, 'wednesday october 11 1972', '1972-10-11', '1972-10-11')
i:50, best_result:(1.0, '28 may 2011', '2011-05-28', '2011-05-28')
i:51, best_result:(1.0, '03 may 1988', '1988-05-03', '1988-05-03')
i:52, best_result:(1.0, 'friday november 2 1984', '1984-11-02', '1984-11-02')
i:53, best_result:(1.0, 'jun 1 1983', '1983-06-01', '1983-06-01')
i:54, best_result:(1.0, 'monday may 1 1995', '1995-05-01', '1995-05-01')
i:55, best_result:(1.0, 'feb 15 2007', '2007-02-15', '2007-02-15')
i:56, best_result:(1.0, 'sunday september 29 1974', '1974-09-29', '1974-09-29')
i:57, best_result:(1.0, 'thursday december 10 1992', '1992-12-10', '1992-12-10')
i:58, best_result:(0.785629301801026, '25 jun 2002', '2002-06-25', '0022-06-25')
i:59, best_result:(1.0, '3/19/17', '2017-03-19', '2017-03-19')
i:60, best_result:(0.6580370064762462, 'thursday november 15 2001', '2001-11-15', '0010-11-15')
i:61, best_result:(1.0, '05 nov 2017', '2017-11-05', '2017-11-05')
i:62, best_result:(1.0, 'tuesday february 20 1979', '1979-02-20', '1979-02-20')
i:63, best_result:(1.0, 'wednesday october 24 1990', '1990-10-24', '1990-10-24')
i:64, best_result:(1.0, '07 jun 2018', '2018-06-07', '2018-06-07')
i:65, best_result:(1.0, '6 jan 2003', '2003-01-06', '2003-01-06')
i:66, best_result:(0.785629301801026, '7/15/02', '2002-07-15', '0022-07-15')
i:67, best_result:(0.8801117367933934, '6/2/75', '1975-06-02', '9975-06-02')
i:68, best_result:(1.0, 'saturday july 22 2006', '2006-07-22', '2006-07-22')
i:69, best_result:(1.0, 'tuesday september 2 2014', '2014-09-02', '2014-09-02')
i:70, best_result:(0.7071067811865475, 'saturday november 20 2010', '2010-11-20', '1000-11-20')
i:71, best_result:(1.0, 'thursday october 8 1987', '1987-10-08', '1987-10-08')
i:72, best_result:(1.0, 'september 4 1991', '1991-09-04', '1991-09-04')
i:73, best_result:(1.0, 'sunday october 28 2012', '2012-10-28', '2012-10-28')
i:74, best_result:(1.0, 'january 18 1974', '1974-01-18', '1974-01-18')
i:75, best_result:(1.0, 'monday august 31 1998', '1998-08-31', '1998-08-31')
i:76, best_result:(0.7071067811865475, 'wednesday november 13 2002', '2002-11-13', '1022-11-13')
i:77, best_result:(1.0, 'monday october 2 2017', '2017-10-02', '2017-10-02')
i:78, best_result:(1.0, '20 jul 2010', '2010-07-20', '2010-07-20')
i:79, best_result:(1.0, 'december 12 1984', '1984-12-12', '1984-12-12')
i:80, best_result:(1.0, '13.12.73', '1973-12-13', '1973-12-13')
i:81, best_result:(1.0, 'saturday november 28 1981', '1981-11-28', '1981-11-28')
i:82, best_result:(1.0, 'tuesday march 24 1970', '1970-03-24', '1970-03-24')
i:83, best_result:(0.7598356856515925, '07.06.91', '1991-06-07', '2091-06-07')
i:84, best_result:(1.0, '14 january 1980', '1980-01-14', '1980-01-14')
i:85, best_result:(1.0, '7 november 2014', '2014-11-07', '2014-11-07')
i:86, best_result:(1.0, '24 oct 2009', '2009-10-24', '2009-10-24')
i:87, best_result:(1.0, '7/14/71', '1971-07-14', '1971-07-14')
i:88, best_result:(1.0, 'may 17 2007', '2007-05-17', '2007-05-17')
i:89, best_result:(1.0, '24 june 1989', '1989-06-24', '1989-06-24')
i:90, best_result:(1.0, '30 jan 1979', '1979-01-30', '1979-01-30')
i:91, best_result:(1.0, '21 mar 1981', '1981-03-21', '1981-03-21')
i:92, best_result:(1.0, 'february 14 1996', '1996-02-14', '1996-02-14')
i:93, best_result:(1.0, 'thursday october 4 1979', '1979-10-04', '1979-10-04')
i:94, best_result:(1.0, 'march 3 1984', '1984-03-03', '1984-03-03')
i:95, best_result:(1.0, 'september 3 1990', '1990-09-03', '1990-09-03')
i:96, best_result:(1.0, 'september 24 2001', '2001-09-24', '2001-09-24')
i:97, best_result:(1.0, '13.08.95', '1995-08-13', '1995-08-13')
i:98, best_result:(1.0, 'thursday march 6 1980', '1980-03-06', '1980-03-06')
i:99, best_result:(1.0, 'december 18 1971', '1971-12-18', '1971-12-18')
i:100, best_result:(0.8801117367933934, '31 aug 2009', '2009-08-31', '0009-08-31')
i:101, best_result:(1.0, 'september 19 2004', '2004-09-19', '2004-09-19')
i:102, best_result:(1.0, '14 may 1995', '1995-05-14', '1995-05-14')
i:103, best_result:(1.0, '23 october 1984', '1984-10-23', '1984-10-23')
i:104, best_result:(1.0, '8 05 71', '1971-05-08', '1971-05-08')
i:105, best_result:(1.0, 'monday july 4 1977', '1977-07-04', '1977-07-04')
i:106, best_result:(1.0, '1 september 1980', '1980-09-01', '1980-09-01')
i:107, best_result:(1.0, '19 october 2014', '2014-10-19', '2014-10-19')
i:108, best_result:(1.0, 'thursday august 2 1984', '1984-08-02', '1984-08-02')
i:109, best_result:(1.0, 'tuesday july 22 1986', '1986-07-22', '1986-07-22')
i:110, best_result:(0.8801117367933934, '31 october 2000', '2000-10-31', '0000-10-31')
i:111, best_result:(1.0, '21 november 1989', '1989-11-21', '1989-11-21')
i:112, best_result:(1.0, 'saturday june 20 1970', '1970-06-20', '1970-06-20')
i:113, best_result:(1.0, 'june 5 1984', '1984-06-05', '1984-06-05')
i:114, best_result:(1.0, 'sunday march 30 1975', '1975-03-30', '1975-03-30')
i:115, best_result:(1.0, '21 august 1997', '1997-08-21', '1997-08-21')
i:116, best_result:(1.0, 'dec 11 1970', '1970-12-11', '1970-12-11')
i:117, best_result:(0.8034284189446518, '21 mar 1970', '1970-03-21', '1970-03-12')
i:118, best_result:(1.0, 'friday january 19 2007', '2007-01-19', '2007-01-19')
i:119, best_result:(0.7825422900366437, 'nov 23 1995', '1995-11-23', '1995-11-03')
i:120, best_result:(1.0, 'july 18 1993', '1993-07-18', '1993-07-18')
i:121, best_result:(1.0, 'friday march 29 1996', '1996-03-29', '1996-03-29')
i:122, best_result:(1.0, 'thursday august 12 2004', '2004-08-12', '2004-08-12')
i:123, best_result:(1.0, 'tuesday december 7 1993', '1993-12-07', '1993-12-07')
i:124, best_result:(1.0, '7 may 1970', '1970-05-07', '1970-05-07')
i:125, best_result:(1.0, '25 feb 1999', '1999-02-25', '1999-02-25')
i:126, best_result:(1.0, '09 sep 1994', '1994-09-09', '1994-09-09')
i:127, best_result:(1.0, '02 nov 1979', '1979-11-02', '1979-11-02')
i:128, best_result:(1.0, 'wednesday august 30 2006', '2006-08-30', '2006-08-30')
i:129, best_result:(1.0, '3 apr 1986', '1986-04-03', '1986-04-03')
i:130, best_result:(1.0, '5 jun 1999', '1999-06-05', '1999-06-05')
i:131, best_result:(1.0, 'march 23 2010', '2010-03-23', '2010-03-23')
i:132, best_result:(1.0, 'jul 14 1974', '1974-07-14', '1974-07-14')
i:133, best_result:(1.0, '10 feb 1977', '1977-02-10', '1977-02-10')
i:134, best_result:(0.7071067811865475, '31 mar 2021', '2021-03-31', '2011-03-31')
i:135, best_result:(0.7071067811865475, 'thursday august 30 2012', '2012-08-30', '2022-08-30')
i:136, best_result:(1.0, 'may 1 2000', '2000-05-01', '2000-05-01')
i:137, best_result:(1.0, 'tuesday september 7 1971', '1971-09-07', '1971-09-07')
i:138, best_result:(1.0, 'saturday november 19 1988', '1988-11-19', '1988-11-19')
i:139, best_result:(1.0, '25 december 1988', '1988-12-25', '1988-12-25')
i:140, best_result:(1.0, 'april 9 1997', '1997-04-09', '1997-04-09')
i:141, best_result:(1.0, '16 jan 2016', '2016-01-16', '2016-01-16')
i:142, best_result:(0.6580370064762462, 'december 30 1992', '1991-12-30', '1992-12-30')
i:143, best_result:(0.7825422900366437, '31 october 2002', '2002-10-31', '2002-10-11')
i:144, best_result:(1.0, 'saturday december 17 1977', '1977-12-17', '1977-12-17')
i:145, best_result:(1.0, '26 aug 2003', '2003-08-26', '2003-08-26')
i:146, best_result:(1.0, 'july 29 1982', '1982-07-29', '1982-07-29')
i:147, best_result:(1.0, '19 jun 1971', '1971-06-19', '1971-06-19')
i:148, best_result:(1.0, '23 jul 1972', '1972-07-23', '1972-07-23')
i:149, best_result:(0.785629301801026, '12 11 02', '2002-11-12', '0022-11-12')
i:150, best_result:(1.0, 'tuesday june 2 2015', '2015-06-02', '2015-06-02')
i:151, best_result:(0.6606328636027614, '09.08.18', '2018-08-09', '0088-08-09')
i:152, best_result:(1.0, 'november 14 1978', '1978-11-14', '1978-11-14')
i:153, best_result:(1.0, '24 dec 1985', '1985-12-24', '1985-12-24')
i:154, best_result:(1.0, 'wednesday january 25 1995', '1995-01-25', '1995-01-25')
i:155, best_result:(1.0, 'thursday december 6 2018', '2018-12-06', '2018-12-06')
i:156, best_result:(1.0, 'thursday june 28 1979', '1979-06-28', '1979-06-28')
i:157, best_result:(1.0, 'may 12 1994', '1994-05-12', '1994-05-12')
i:158, best_result:(1.0, 'monday february 4 2002', '2002-02-04', '2002-02-04')
i:159, best_result:(1.0, '5/12/19', '2019-05-12', '2019-05-12')
i:160, best_result:(1.0, 'monday october 4 1993', '1993-10-04', '1993-10-04')
i:161, best_result:(1.0, '21 mar 1991', '1991-03-21', '1991-03-21')
i:162, best_result:(1.0, '30 aug 1974', '1974-08-30', '1974-08-30')
i:163, best_result:(1.0, 'apr 9 1992', '1992-04-09', '1992-04-09')
i:164, best_result:(0.8801117367933934, 'sunday march 29 1987', '1987-03-29', '9987-03-29')
i:165, best_result:(1.0, 'monday september 29 1980', '1980-09-29', '1980-09-29')
i:166, best_result:(0.6580370064762462, '29.04.99', '1999-04-29', '1999-09-29')
i:167, best_result:(1.0, 'wednesday october 18 2000', '2000-10-18', '2000-10-18')
i:168, best_result:(1.0, '2 02 83', '1983-02-02', '1983-02-02')
i:169, best_result:(1.0, '06.01.15', '2015-01-06', '2015-01-06')
i:170, best_result:(1.0, '13 jun 1984', '1984-06-13', '1984-06-13')
i:171, best_result:(1.0, 'thursday july 15 2021', '2021-07-15', '2021-07-15')
i:172, best_result:(0.8034284189446518, 'august 13 1984', '1984-08-13', '1984-08-31')
i:173, best_result:(1.0, '14 jan 1986', '1986-01-14', '1986-01-14')
i:174, best_result:(1.0, '3/3/14', '2014-03-03', '2014-03-03')
i:175, best_result:(1.0, '4 jun 2005', '2005-06-04', '2005-06-04')
i:176, best_result:(1.0, 'wednesday march 17 1976', '1976-03-17', '1976-03-17')
i:177, best_result:(1.0, 'april 6 1995', '1995-04-06', '1995-04-06')
i:178, best_result:(0.7071067811865475, '19 jan 1978', '1978-01-19', '1988-01-19')
i:179, best_result:(0.8801117367933934, 'saturday october 26 2002', '2002-10-26', '1002-10-26')
i:180, best_result:(1.0, '13 may 2001', '2001-05-13', '2001-05-13')
i:181, best_result:(1.0, 'sunday august 20 2000', '2000-08-20', '2000-08-20')
i:182, best_result:(1.0, '8 february 2007', '2007-02-08', '2007-02-08')
i:183, best_result:(0.6147881529512644, '28 mar 1978', '1978-03-28', '1987-03-28')
i:184, best_result:(1.0, 'monday may 25 2015', '2015-05-25', '2015-05-25')
i:185, best_result:(1.0, '11 apr 2004', '2004-04-11', '2004-04-11')
i:186, best_result:(1.0, '15 jul 2011', '2011-07-15', '2011-07-15')
i:187, best_result:(1.0, 'tuesday august 23 1994', '1994-08-23', '1994-08-23')
i:188, best_result:(1.0, '9 march 1984', '1984-03-09', '1984-03-09')
i:189, best_result:(1.0, '16 may 1980', '1980-05-16', '1980-05-16')
i:190, best_result:(1.0, '14 november 2012', '2012-11-14', '2012-11-14')
i:191, best_result:(1.0, 'thursday june 18 2009', '2009-06-18', '2009-06-18')
i:192, best_result:(1.0, '4/27/76', '1976-04-27', '1976-04-27')
i:193, best_result:(1.0, 'saturday september 24 1994', '1994-09-24', '1994-09-24')
i:194, best_result:(1.0, 'jul 22 2004', '2004-07-22', '2004-07-22')
i:195, best_result:(1.0, 'tuesday february 23 1999', '1999-02-23', '1999-02-23')
i:196, best_result:(1.0, '22 dec 2014', '2014-12-22', '2014-12-22')
i:197, best_result:(1.0, 'saturday september 9 1978', '1978-09-09', '1978-09-09')
i:198, best_result:(1.0, '27 mar 1991', '1991-03-27', '1991-03-27')
i:199, best_result:(1.0, 'dec 12 1984', '1984-12-12', '1984-12-12')
average_bleu_score: 0.9655964923599004

Process finished with exit code 0
